,n,acc,,
,138,22,"3,48449143727041E+041","3,48449143727041E+041"
,139,24,"6,96898287454082E+041","6,96898287454082E+041"
,140,26,"1,39379657490816E+042","1,39379657490816E+042"
,141,28,"2,78759314981633E+042","2,78759314981633E+042"
,142,30,"5,57518629963266E+042","5,57518629963266E+042"
,143,32,"1,11503725992653E+043","1,11503725992653E+043"
,144,34,"2,23007451985306E+043","2,23007451985306E+043"
,145,36,"4,46014903970613E+043","4,46014903970613E+043"
,146,38,"8,92029807941225E+043","8,92029807941225E+043"
,147,40,"1,78405961588245E+044","1,78405961588245E+044"
,148,42,"3,5681192317649E+044","3,5681192317649E+044"
,149,44,"7,1362384635298E+044","7,1362384635298E+044"
,150,46,"1,42724769270596E+045","1,42724769270596E+045"
,151,48,"2,85449538541192E+045","2,85449538541192E+045"
,152,50,"5,70899077082384E+045","5,70899077082384E+045"
,153,52,"1,14179815416477E+046","1,14179815416477E+046"
,154,54,"2,28359630832954E+046","2,28359630832954E+046"
,155,56,"4,56719261665907E+046","4,56719261665907E+046"
,156,58,"9,13438523331814E+046","9,13438523331814E+046"
,157,60,"1,82687704666363E+047","1,82687704666363E+047"
,158,62,"3,65375409332726E+047","3,65375409332726E+047"
,159,64,"7,30750818665451E+047","7,30750818665451E+047"
,160,66,"1,4615016373309E+048","1,4615016373309E+048"
,161,68,"2,92300327466181E+048","2,92300327466181E+048"
,162,70,"5,84600654932361E+048","5,84600654932361E+048"
,163,72,"1,16920130986472E+049","1,16920130986472E+049"
,164,74,"2,33840261972944E+049","2,33840261972944E+049"
,165,76,"4,67680523945889E+049","4,67680523945889E+049"
,166,78,"9,35361047891778E+049","9,35361047891778E+049"
,167,80,"1,87072209578356E+050","1,87072209578356E+050"
,168,82,"3,74144419156711E+050","3,74144419156711E+050"
,169,84,"7,48288838313422E+050","7,48288838313422E+050"
,170,86,"1,49657767662684E+051","1,49657767662684E+051"
,171,88,"2,99315535325369E+051","2,99315535325369E+051"
,172,90,"5,98631070650738E+051","5,98631070650738E+051"
,173,92,"1,19726214130148E+052","1,19726214130148E+052"
,174,94,"2,39452428260295E+052","2,39452428260295E+052"
,175,96,"4,7890485652059E+052","4,7890485652059E+052"
,176,98,"9,57809713041181E+052","9,57809713041181E+052"
,177,100,"1,91561942608236E+053","1,91561942608236E+053"
,178,102,"3,83123885216472E+053","3,83123885216472E+053"
,179,104,"7,66247770432944E+053","7,66247770432944E+053"
,180,106,"1,53249554086589E+054","1,53249554086589E+054"
,181,108,"3,06499108173178E+054","3,06499108173178E+054"
,182,110,"6,12998216346356E+054","6,12998216346356E+054"
,183,112,"1,22599643269271E+055","1,22599643269271E+055"
,184,114,"2,45199286538542E+055","2,45199286538542E+055"
,185,116,"4,90398573077084E+055","4,90398573077084E+055"
,186,118,"9,80797146154169E+055","9,80797146154169E+055"
,187,120,"1,96159429230834E+056","1,96159429230834E+056"
,188,122,"3,92318858461668E+056","3,92318858461668E+056"
,189,124,"7,84637716923335E+056","7,84637716923335E+056"
,190,126,"1,56927543384667E+057","1,56927543384667E+057"
,191,128,"3,13855086769334E+057","3,13855086769334E+057"
,192,130,"6,27710173538668E+057","6,27710173538668E+057"
,193,132,"1,25542034707734E+058","1,25542034707734E+058"
,194,134,"2,51084069415467E+058","2,51084069415467E+058"
,195,136,"5,02168138830935E+058","5,02168138830935E+058"
,196,138,"1,00433627766187E+059","1,00433627766187E+059"
,197,140,"2,00867255532374E+059","2,00867255532374E+059"
,198,142,"4,01734511064748E+059","4,01734511064748E+059"
,199,144,"8,03469022129495E+059","8,03469022129495E+059"
,200,146,"1,60693804425899E+060","1,60693804425899E+060"
,201,148,"3,21387608851798E+060","3,21387608851798E+060"
,202,150,"6,42775217703596E+060","6,42775217703596E+060"
,203,152,"1,28555043540719E+061","1,28555043540719E+061"
,204,154,"2,57110087081438E+061","2,57110087081438E+061"
,205,156,"5,14220174162877E+061","5,14220174162877E+061"
,206,158,"1,02844034832575E+062","1,02844034832575E+062"
,207,160,"2,05688069665151E+062","2,05688069665151E+062"
,208,162,"4,11376139330302E+062","4,11376139330302E+062"
,209,164,"8,22752278660603E+062","8,22752278660603E+062"
,210,166,"1,64550455732121E+063","1,64550455732121E+063"
,211,168,"3,29100911464241E+063","3,29100911464241E+063"
,212,170,"6,58201822928482E+063","6,58201822928482E+063"
,213,172,"1,31640364585696E+064","1,31640364585696E+064"
,214,174,"2,63280729171393E+064","2,63280729171393E+064"
,215,176,"5,26561458342786E+064","5,26561458342786E+064"
,216,178,"1,05312291668557E+065","1,05312291668557E+065"
,217,180,"2,10624583337114E+065","2,10624583337114E+065"
,218,182,"4,21249166674229E+065","4,21249166674229E+065"
,219,184,"8,42498333348457E+065","8,42498333348457E+065"
,220,186,"1,68499666669692E+066","1,68499666669692E+066"
,221,188,"3,36999333339383E+066","3,36999333339383E+066"
,222,190,"6,73998666678766E+066","6,73998666678766E+066"
,223,192,"1,34799733335753E+067","1,34799733335753E+067"
,224,194,"2,69599466671506E+067","2,69599466671506E+067"
,225,196,"5,39198933343013E+067","5,39198933343013E+067"
,226,198,"1,07839786668603E+068","1,07839786668603E+068"
,227,200,"2,15679573337205E+068","2,15679573337205E+068"
,228,202,"4,3135914667441E+068","4,3135914667441E+068"
,229,204,"8,62718293348821E+068","8,62718293348821E+068"
,230,206,"1,72543658669764E+069","1,72543658669764E+069"
,231,208,"3,45087317339528E+069","3,45087317339528E+069"
,232,210,"6,90174634679056E+069","6,90174634679056E+069"
,233,212,"1,38034926935811E+070","1,38034926935811E+070"
,234,214,"2,76069853871623E+070","2,76069853871623E+070"
,235,216,"5,52139707743245E+070","5,52139707743245E+070"
,236,218,"1,10427941548649E+071","1,10427941548649E+071"
,237,220,"2,20855883097298E+071","2,20855883097298E+071"
,238,222,"4,41711766194596E+071","4,41711766194596E+071"
,239,224,"8,83423532389192E+071","8,83423532389192E+071"
,240,226,"1,76684706477838E+072","1,76684706477838E+072"
,241,228,"3,53369412955677E+072","3,53369412955677E+072"
,242,230,"7,06738825911354E+072","7,06738825911354E+072"
,243,232,"1,41347765182271E+073","1,41347765182271E+073"
,244,234,"2,82695530364541E+073","2,82695530364541E+073"
,245,236,"5,65391060729083E+073","5,65391060729083E+073"
,246,238,"1,13078212145817E+074","1,13078212145817E+074"
,247,240,"2,26156424291633E+074","2,26156424291633E+074"
,248,242,"4,52312848583266E+074","4,52312848583266E+074"
,249,244,"9,04625697166533E+074","9,04625697166533E+074"
,250,246,"1,80925139433307E+075","1,80925139433307E+075"
,251,248,"3,61850278866613E+075","3,61850278866613E+075"
,252,250,"7,23700557733226E+075","7,23700557733226E+075"
,253,252,"1,44740111546645E+076","1,44740111546645E+076"
,254,254,"2,8948022309329E+076","2,8948022309329E+076"
,255,0,"5,78960446186581E+076","5,78960446186581E+076"
,256,2,"1,15792089237316E+077","1,15792089237316E+077"
